Java,Python,SPM,OT,AIT,ADBMS,Result
25,23,32,30,13,30,0
30,36,51,32,36,36,0
50,43,55,36,47,48,1
55,36,56,26,44,43,1
27,28,36,30,23,34,0
30,35,38,36,44,38,0
50,40,48,34,47,33,1
36,36,41,23,32,35,0
15,20,36,18,15,11,0
35,41,38,36,47,36,0
26,34,27,23,30,34,0
45,40,39,35,36,42,1
23,27,23,21,32,38,0
27,30,27,30,27,39,0
47,38,47,32,44,42,1
40,30,38,34,30,30,1
36,32,30,32,30,36,1
27,27,30,14,28,31,0
27,33,39,26,30,33,0
21,32,31,12,31,32,0
11,12,13,11,13,11,0
27,58,38,29,45,41,0
24,34,36,24,36,30,0
49,38,39,45,47,42,1
33,29,30,26,39,33,0
29,29,60,23,36,30,0
32,24,32,21,38,35,0
37,37,36,36,38,36,1
36,36,42,27,42,32,1
20,27,42,20,36,41,0
47,39,49,27,41,48,1
40,45,48,36,50,47,0
30,36,45,24,29,41,0
35,36,44,35,36,41,1
32,32,30,12,32,28,1
26,39,38,26,33,36,0
37,36,39,20,38,36,0
15,11,36,20,30,18,0
50,36,55,36,33,43,1
30,30,47,27,32,38,0
32,35,45,32,38,43,0
27,32,30,27,40,36,0
30,30,36,17,30,39,0
30,31,30,25,43,33,0
32,32,36,21,30,32,0
45,36,45,24,32,27,1
27,34,30,25,32,21,0
30,30,42,27,36,30,0
37,38,41,26,41,40,0
36,43,50,36,36,38,0
30,31,32,32,30,40,0
33,33,47,12,36,39,1
27,24,43,20,30,36,0
30,30,44,21,27,35,0
42,37,36,37,35,33,0
36,30,53,36,39,36,1
27,39,42,29,42,36,1
37,44,42,36,41,36,0
30,35,36,24,30,41,0
29,29,36,20,34,20,0
37,38,42,30,31,36,0
40,42,45,30,41,36,1
27,35,36,21,30,39,0
32,30,38,36,38,39,0
35,30,50,38,42,45,1
30,30,42,30,36,36,1
36,34,47,30,42,40,1
58,57,58,33,50,56,1
61,61,58,51,55,46,1
42,51,42,30,54,51,1
41,53,41,30,53,47,1
39,36,39,30,48,48,1
44,36,44,30,36,41,1
41,41,47,30,30,41,1
38,36,41,30,45,44,1
33,36,57,33,38,46,1
27,30,42,30,36,46,0
42,45,42,42,44,48,1
55,42,53,30,55,48,1
39,39,42,30,50,40,0
41,45,44,38,58,41,1
30,33,53,30,36,35,0
42,39,50,30,45,44,1
30,36,41,30,30,35,0
55,59,51,36,45,47,1
32,32,44,30,30,35,0
36,39,44,32,36,39,1
38,36,47,30,38,40,1
44,45,57,33,48,46,1
30,30,30,30,32,39,1
50,42,39,30,65,50,1
45,43,45,44,50,44,1
42,32,42,30,47,36,1
36,30,41,30,36,38,1
30,30,38,30,36,36,1
27,36,36,30,36,30,0
45,48,45,50,51,45,1
63,54,53,63,50,50,0
32,39,36,30,30,35,1
30,41,45,30,51,51,0
27,30,32,30,36,30,0
30,30,32,30,38,30,0
32,30,32,33,30,30,0
45,54,48,36,68,49,1
42,51,42,30,47,36,0
36,36,45,30,39,40,0
30,35,45,30,36,33,1
39,33,41,39,41,37,1
47,47,61,30,51,51,1
27,47,48,36,50,45,0
30,30,36,30,36,30,0
55,52,48,36,55,43,1
30,45,58,42,47,53,0
35,35,44,30,48,42,1
33,30,45,30,33,30,1
36,30,51,39,36,48,1
42,36,42,41,36,38,0
45,47,41,36,45,41,1
30,36,50,30,36,48,1
41,44,42,41,47,50,1
43,43,50,38,47,44,1
52,53,42,33,52,50,1
36,45,44,30,36,35,1
41,41,44,30,30,36,1
68,66,65,65,64,67,1
